filename,class,split
gas_4a4d1404a335e57a.jpg,NBI,train
gas_3b751cbb35aed5e6.jpg,NBI,train
gas_1fa33b626290c32a.jpg,NBI,train
gas_1ce9dad95feca67c.jpg,NBI,train
gas_f36d8a934f955e43.jpg,NBI,train
gas_1be14ee84d3c23b4.jpg,NBI,train
gas_208892ca28fafe2e.jpg,NBI,train
gas_2cdad3781471dd10.jpg,NBI,train
gas_4de8cc7c53bd1c9.jpg,NBI,train
gas_720d914becc21ca5.jpg,NBI,train
gas_1bde586c34d36ffb.jpg,NBI,train
gas_2e50908d40706a52.jpg,NBI,train
gas_68f981b0bf11f55a.jpg,NBI,train
gas_4b08cba24271f858.jpg,NBI,train
gas_1ae17b1209a3cd33.jpg,NBI,train
gas_2c9845b37d117f47.jpg,NBI,train
gas_4b934e167612771.jpg,NBI,train
gas_7e0839e8bedea3ea.jpg,NBI,train
gas_ac16204ad505582c.jpg,NBI,train
gas_89d45c2420537010.jpg,NBI,train
gas_a7694437cce3bce5.jpg,NBI,train
gas_4c97aae5daeee47c.jpg,NBI,train
gas_1ed160ab24193f82.jpg,NBI,train
gas_3df7b6f06a262ce9.jpg,NBI,train
gas_77ba223ef14b5cd2.jpg,NBI,train
gas_4a896dfc76fee7fe.jpg,NBI,train
gas_3f5aec5da4a2e74c.jpg,NBI,train
gas_f5d950074ed5d805.jpg,NBI,train
gas_10fd4d4f3a07b0c5.jpg,NBI,train
gas_397800f972b39d75.jpg,NBI,train
gas_3e67f49d1779b67b.jpg,NBI,train
gas_4b51f4053ef801d7.jpg,NBI,train
gas_1af40379610ca5b5.jpg,NBI,train
gas_508d1ff6cbb276ec.jpg,NBI,train
gas_1f51fb9d5020210e.jpg,NBI,train
gas_4d46e564da65789.jpg,NBI,train
gas_4acb0c4dd172d6ed.jpg,NBI,train
gas_4e02d747563f5133.jpg,NBI,train
gas_2b71c54f3db77c59.jpg,NBI,train
gas_d5858a777506b9e9.jpg,NBI,train
gas_ffd90ef7026b1ac9.jpg,NBI,train
gas_cc50edb2b07940b2.jpg,NBI,train
gas_3ab714974c232781.jpg,NBI,train
gas_1e82bdcfb6580084.jpg,NBI,train
gas_1ab6f60e0307d3e6.jpg,NBI,train
gas_aff3e42b86e4dcf9.jpg,NBI,train
gas_b715f041849ba83a.jpg,NBI,train
gas_3dc06cd4fed74242.jpg,NBI,train
gas_ffa4c83e6b4bf5bb.jpg,NBI,train
gas_5adb3d09f0b19823.jpg,NBI,train
gas_1daca81a67fea6f9.jpg,NBI,train
gas_84c12c4f8cd53d71.jpg,NBI,train
gas_3c12de16045627ae.jpg,NBI,train
gas_ffd12b35e3bfd6dc.jpg,NBI,train
gas_fbb179ebf5e887b8.jpg,NBI,train
gas_4c45177c57b20f13.jpg,NBI,train
gas_3e4baf0fa2887d74.jpg,NBI,train
gas_3f6cf4a16d16ce6d.jpg,NBI,train
gas_2d176bef6d8d42d1.jpg,NBI,train
gas_2c20688b4848b320.jpg,NBI,train
gas_f6107f8315ea7987.jpg,NBI,train
gas_6e9f38b5c1ee0260.jpg,NBI,train
gas_6cf7b03c4d8c275b.jpg,NBI,train
gas_4fd0c765c7455b73.jpg,NBI,train
gas_99f57735becc6721.jpg,NBI,train
gas_2b60dde07e7a1127.jpg,NBI,train
gas_1e23d3524e3830d6.jpg,NBI,train
gas_4f0bb6303047d87b.jpg,NBI,train
gas_107949f3e80b4a7f.jpg,NBI,train
gas_3ec3f162e30d0bcf.jpg,NBI,train
